2017-11-14 19:41:15,819 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:TesteSelenium:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/testeOnline/TesteSelenium/pom.xml.
2017-11-14 19:41:16,559 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TesteSelenium/src/main/java
2017-11-14 19:41:16,561 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TesteSelenium/src/main/resources
2017-11-14 19:41:16,562 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TesteSelenium/src/test/java
2017-11-14 19:41:16,562 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TesteSelenium/src/test/resources
2017-11-14 19:41:17,015 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:TesteSelenium:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/testeOnline/TesteSelenium/pom.xml.
2017-11-14 19:41:18,671 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:TesteSelenium:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/testeOnline/TesteSelenium/pom.xml.
2017-11-14 19:41:18,775 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 19:41:18,788 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 19:41:18,795 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 19:41:18,800 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 19:42:49,146 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:TesteSelenium:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/testeOnline/TesteSelenium/pom.xml.
2017-11-14 19:42:49,520 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 19:42:49,540 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 19:42:49,546 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 19:42:49,546 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 19:44:58,288 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:TesteSelenium:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/testeOnline/TesteSelenium/pom.xml.
2017-11-14 19:44:58,486 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 19:44:58,486 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 19:44:58,489 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 19:44:58,490 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
