2017-11-14 17:52:02,337 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:testeFuncional:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/funcional/pom.xml.
2017-11-14 17:52:03,023 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /testeFuncional/src/main/java
2017-11-14 17:52:03,025 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /testeFuncional/src/main/resources
2017-11-14 17:52:03,025 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /testeFuncional/src/test/java
2017-11-14 17:52:03,025 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /testeFuncional/src/test/resources
2017-11-14 17:52:03,246 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:testeFuncional:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/funcional/pom.xml.
2017-11-14 17:52:05,979 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:testeFuncional:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/funcional/pom.xml.
2017-11-14 17:52:06,563 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 17:52:06,571 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 17:52:06,575 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 17:52:06,575 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 17:52:37,623 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:testeFuncional:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/funcional/pom.xml.
2017-11-14 17:52:37,732 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 17:52:37,802 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 17:52:37,807 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 17:52:37,807 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 17:53:22,856 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:testeFuncional:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/funcional/pom.xml.
2017-11-14 17:53:23,305 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 17:53:23,306 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 17:53:23,318 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 17:53:23,319 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 17:58:56,321 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.mp.geltoncruz:testeFuncional:0.0.1-SNAPSHOT @ /home/geltoncruz/Documents/aulas/Testes-de-Software/cenarios/TesteFuncional/WebDriver/funcional/pom.xml.
2017-11-14 17:58:56,599 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 17:58:56,599 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 17:58:56,607 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 17:58:56,613 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 18:00:40,181 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 18:00:40,192 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 18:00:40,202 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 18:00:40,211 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 18:00:41,245 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 18:00:41,245 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-14 18:00:41,261 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 18:00:41,279 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
